family,instance,n_vars,n_clauses,algorithm,solver,order,backbone_size,backbone_hash,expected_size,calls,free,rounds,load_time,solve_time,error,naive_calls,saving,matches_expected
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_0.cnf,100,449,complement,cadical153,index,30,371b409d285c1678,30.0,25,0,24,0.00181489996612072,0.01886300020851195,,200,0.875,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_1.cnf,100,449,propagate,cadical153,index,30,5c8d40ac08b062d2,30.0,37,2,36,0.0018216000171378255,0.031675499747507274,,200,0.815,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_1.cnf,100,449,complement,cadical153,index,30,5c8d40ac08b062d2,30.0,20,0,19,0.0018230000277981162,0.0198531998321414,,200,0.9,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_10.cnf,100,449,propagate,cadical153,index,30,7fa54dad227ed825,30.0,35,6,34,0.0022122999653220177,0.031460599740967155,,200,0.825,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_10.cnf,100,449,complement,cadical153,index,30,7fa54dad227ed825,30.0,34,0,33,0.001917799934744835,0.0274906997801736,,200,0.83,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_100.cnf,100,449,propagate,cadical153,index,30,72bef44ae967344b,30.0,37,4,36,0.002084400039166212,0.02407629950903356,,200,0.815,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_100.cnf,100,449,complement,cadical153,index,30,72bef44ae967344b,30.0,35,0,34,0.0018356000073254108,0.02244169940240681,,200,0.825,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_101.cnf,100,449,propagate,cadical153,index,30,f30b11929697346d,30.0,44,4,43,0.0017683999612927437,0.02893699996639043,,200,0.78,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_101.cnf,100,449,complement,cadical153,index,30,f30b11929697346d,30.0,44,0,43,0.001824099919758737,0.013728600577451289,,200,0.78,True
CBS_k3_n100_m449_b50,CBS_k3_n100_m449_b50_0.cnf,100,449,propagate,cadical153,index,50,407804ba65340616,50.0,47,12,46,0.0018007999751716852,0.018598200869746506,,200,0.765,True
CBS_k3_n100_m449_b50,CBS_k3_n100_m449_b50_0.cnf,100,449,complement,cadical153,index,50,407804ba65340616,50.0,15,0,14,0.0017828999552875757,0.01229119987692684,,200,0.925,True
