family,instance,vars,algorithm,true_size,reported_size,missing,extra,identical,check_calls
ais,ais10.cnf,181,propagate,0,0,0,0,True,363
ais,ais10.cnf,181,complement,0,0,0,0,True,363
ais,ais12.cnf,265,propagate,0,0,0,0,True,531
ais,ais12.cnf,265,complement,0,0,0,0,True,531
ais,ais6.cnf,61,propagate,2,2,0,0,True,123
ais,ais6.cnf,61,complement,2,2,0,0,True,123
ais,ais8.cnf,113,propagate,3,3,0,0,True,227
ais,ais8.cnf,113,complement,3,3,0,0,True,227
blocksworld,anomaly.cnf,48,propagate,48,48,0,0,True,97
blocksworld,anomaly.cnf,48,complement,48,48,0,0,True,97
blocksworld,bw_large.a.cnf,459,propagate,459,459,0,0,True,919
blocksworld,bw_large.a.cnf,459,complement,459,459,0,0,True,919
blocksworld,bw_large.b.cnf,1087,propagate,1068,1068,0,0,True,2175
blocksworld,bw_large.b.cnf,1087,complement,1068,1068,0,0,True,2175
blocksworld,bw_large.c.cnf,3016,propagate,2958,2958,0,0,True,6033
blocksworld,bw_large.c.cnf,3016,complement,2958,2958,0,0,True,6033
blocksworld,bw_large.d.cnf,6325,propagate,6046,6046,0,0,True,12651
blocksworld,bw_large.d.cnf,6325,complement,6046,6046,0,0,True,12651
blocksworld,huge.cnf,459,propagate,459,459,0,0,True,919
blocksworld,huge.cnf,459,complement,459,459,0,0,True,919
blocksworld,medium.cnf,116,propagate,97,97,0,0,True,233
blocksworld,medium.cnf,116,complement,97,97,0,0,True,233
flat100-239,flat100-1.cnf,300,propagate,0,0,0,0,True,601
flat100-239,flat100-1.cnf,300,complement,0,0,0,0,True,601
flat100-239,flat100-10.cnf,300,propagate,0,0,0,0,True,601
flat100-239,flat100-10.cnf,300,complement,0,0,0,0,True,601
flat100-239,flat100-100.cnf,300,propagate,0,0,0,0,True,601
flat100-239,flat100-100.cnf,300,complement,0,0,0,0,True,601
flat100-239,flat100-11.cnf,300,propagate,0,0,0,0,True,601
flat100-239,flat100-11.cnf,300,complement,0,0,0,0,True,601
flat100-239,flat100-12.cnf,300,propagate,0,0,0,0,True,601
flat100-239,flat100-12.cnf,300,complement,0,0,0,0,True,601
flat30-60,flat30-1.cnf,90,propagate,0,0,0,0,True,181
flat30-60,flat30-1.cnf,90,complement,0,0,0,0,True,181
flat30-60,flat30-10.cnf,90,propagate,0,0,0,0,True,181
flat30-60,flat30-10.cnf,90,complement,0,0,0,0,True,181
flat30-60,flat30-100.cnf,90,propagate,0,0,0,0,True,181
flat30-60,flat30-100.cnf,90,complement,0,0,0,0,True,181
flat30-60,flat30-11.cnf,90,propagate,0,0,0,0,True,181
flat30-60,flat30-11.cnf,90,complement,0,0,0,0,True,181
flat30-60,flat30-12.cnf,90,propagate,0,0,0,0,True,181
flat30-60,flat30-12.cnf,90,complement,0,0,0,0,True,181
flat50-115,flat50-1.cnf,150,propagate,0,0,0,0,True,301
flat50-115,flat50-1.cnf,150,complement,0,0,0,0,True,301
flat50-115,flat50-10.cnf,150,propagate,0,0,0,0,True,301
flat50-115,flat50-10.cnf,150,complement,0,0,0,0,True,301
flat50-115,flat50-100.cnf,150,propagate,0,0,0,0,True,301
flat50-115,flat50-100.cnf,150,complement,0,0,0,0,True,301
flat50-115,flat50-1000.cnf,150,propagate,0,0,0,0,True,301
flat50-115,flat50-1000.cnf,150,complement,0,0,0,0,True,301
flat50-115,flat50-101.cnf,150,propagate,0,0,0,0,True,301
flat50-115,flat50-101.cnf,150,complement,0,0,0,0,True,301
logistics,logistics.a.cnf,828,propagate,437,437,0,0,True,1657
logistics,logistics.a.cnf,828,complement,437,437,0,0,True,1657
logistics,logistics.b.cnf,843,propagate,405,405,0,0,True,1687
logistics,logistics.b.cnf,843,complement,405,405,0,0,True,1687
logistics,logistics.c.cnf,1141,propagate,557,557,0,0,True,2283
logistics,logistics.c.cnf,1141,complement,557,557,0,0,True,2283
logistics,logistics.d.cnf,4713,propagate,838,838,0,0,True,9427
logistics,logistics.d.cnf,4713,complement,838,838,0,0,True,9427
sw100-8-p0-c5,sw100-1.cnf,500,propagate,0,0,0,0,True,1001
sw100-8-p0-c5,sw100-1.cnf,500,complement,0,0,0,0,True,1001
uf100-430,uf100-01.cnf,100,propagate,41,41,0,0,True,201
uf100-430,uf100-01.cnf,100,complement,41,41,0,0,True,201
uf100-430,uf100-010.cnf,100,propagate,41,41,0,0,True,201
uf100-430,uf100-010.cnf,100,complement,41,41,0,0,True,201
uf100-430,uf100-0100.cnf,100,propagate,6,6,0,0,True,201
uf100-430,uf100-0100.cnf,100,complement,6,6,0,0,True,201
uf100-430,uf100-01000.cnf,100,propagate,14,14,0,0,True,201
uf100-430,uf100-01000.cnf,100,complement,14,14,0,0,True,201
uf100-430,uf100-0101.cnf,100,propagate,48,48,0,0,True,201
uf100-430,uf100-0101.cnf,100,complement,48,48,0,0,True,201
uf20-91,uf20-01.cnf,20,propagate,8,8,0,0,True,41
uf20-91,uf20-01.cnf,20,complement,8,8,0,0,True,41
uf20-91,uf20-010.cnf,20,propagate,8,8,0,0,True,41
uf20-91,uf20-010.cnf,20,complement,8,8,0,0,True,41
uf20-91,uf20-0100.cnf,20,propagate,11,11,0,0,True,41
