source,puzzle,n_terms,n_letters,longest_word,base,distinct,mode,solver,n_vars,n_clauses,solutions,calls,unique,matches_published,encode_time,solve_time,error,total_time
language,PLI+COBOL+SNOBOL=PASCAL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0008497000671923161,0.013543799985200167,,0.014393500052392483
language,PLI+LOGIC+SNOBOL=PROLOG,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0009129999671131372,0.02545959991402924,,0.026372599881142378
language,PLI+SCALA+SCHEME=PASCAL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0008347999537363648,0.02203030011150986,,0.022865100065246224
language,PLI+SCALA+SNOBOL=PASCAL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.03172160009853542,0.027012199978344142,,0.05873380007687956
language,SED+LISP+ALGOL=PROLOG,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0008213999681174755,0.00280930008739233,,0.0036307000555098057
language,SED+ALGOL+SCALA=SCHEME,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0009470999939367175,0.004969700006768107,,0.005916800000704825
language,SED+ALGOL+ERLANG=SNOBOL,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0008477999363094568,0.0450373999774456,,0.04588519991375506
language,SED+SCALA+SCHEME=PASCAL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0009565999498590827,0.025912099983543158,,0.02686869993340224
language,SML+BCPL+BASIC=SIMULA,3,9,6,10,True,all,cadical153,1200,3954,1,2,True,True,0.000781899900175631,0.0030612999107688665,,0.0038431998109444976
language,SML+BCPL+COBOL=SIMULA,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0007669000187888741,0.0034996001049876213,,0.0042665001237764955
language,SML+BCPL+SCALA=MODULA,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0007839000318199396,0.00209199998062104,,0.0028759000124409795
language,SML+BCPL+PASCAL=SNOBOL,3,9,6,10,True,all,cadical153,1232,4045,1,2,True,True,0.0007697999244555831,0.0030101999873295426,,0.0037799999117851257
language,SML+BCPL+SNOBOL=PROLOG,3,10,6,10,True,all,cadical153,1251,4162,1,2,True,True,0.0008435999043285847,0.007615000009536743,,0.008458599913865328
language,SML+JAVA+BASIC=SIMULA,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0007715000538155437,0.003160799969919026,,0.0039323000237345695
language,SML+JAVA+PASCAL=SIMULA,3,10,6,10,True,all,cadical153,1251,4162,1,2,True,True,0.0007761999731883407,0.0029319000896066427,,0.0037081000627949834
language,SML+LISP+SCALA=PROLOG,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0008248999947682023,0.004450699896551669,,0.005275599891319871
language,SML+LISP+PROLOG=SNOBOL,3,10,6,10,True,all,cadical153,1251,4162,1,2,True,True,0.0008025000570341945,0.0046888000797480345,,0.005491300136782229
language,SML+PERL+SCHEME=PROLOG,3,10,6,10,True,all,cadical153,1251,4162,1,2,True,True,0.0008892999030649662,0.010045400122180581,,0.010934700025245547
language,SML+ALGOL+LOGIC=SIMULA,3,9,6,10,True,all,cadical153,1252,4176,1,2,True,True,0.0008410000009462237,0.013022699975408614,,0.013863699976354837
language,SML+ALGOL+SIMULA=PROLOG,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0009113000705838203,0.04121259995736182,,0.04212390002794564
language,SML+BASIC+LOGIC=SIMULA,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008397001074627042,0.0166682000271976,,0.017507900134660304
language,SML+BASIC+SCALA=MODULA,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0009044000180438161,0.016731300042010844,,0.01763570006005466
language,SML+BASIC+SIMULA=PASCAL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0008410000009462237,0.03275100002065301,,0.03359200002159923
language,SML+COBOL+PASCAL=MODULA,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0010781000601127744,0.015078200027346611,,0.016156300087459385
language,SML+PASCAL+SIMULA=MODULA,3,10,6,10,True,all,cadical153,1357,4619,1,2,True,True,0.0009233999298885465,0.024407700053416193,,0.02533109998330474
language,BCPL+JAVA+COBOL=PROLOG,3,10,6,10,True,all,cadical153,1288,4406,1,2,True,True,0.0009939000010490417,0.009206200018525124,,0.010200100019574165
language,BCPL+LISP+PASCAL=SCHEME,3,10,6,10,True,all,cadical153,1320,4497,1,2,True,True,0.0008651999523863196,0.005013400106690824,,0.005878600059077144
language,BCPL+LISP+PASCAL=SNOBOL,3,9,6,10,True,all,cadical153,1301,4380,1,2,True,True,0.0325340999988839,0.0035435998579487205,,0.036077699856832623
language,BCPL+PERL+ALGOL=ERLANG,3,10,6,10,True,all,cadical153,1288,4406,1,2,True,True,0.0008690999820828438,0.0027646999806165695,,0.0036337999626994133
language,BCPL+PERL+SCALA=PROLOG,3,10,6,10,True,all,cadical153,1288,4406,1,2,True,True,0.0009315999923273921,0.002959099947474897,,0.003890699939802289
language,BCPL+PERL+ERLANG=PASCAL,3,10,6,10,True,all,cadical153,1320,4497,1,2,True,True,0.0008182000601664186,0.0036247000098228455,,0.004442900069989264
language,BCPL+PERL+PASCAL=SNOBOL,3,10,6,10,True,all,cadical153,1320,4497,1,2,True,True,0.0009260000661015511,0.004111099988222122,,0.005037100054323673
language,BCPL+ALGOL+COBOL=PROLOG,3,8,6,10,True,all,cadical153,1302,4404,1,2,True,True,0.0008185000624507666,0.0019184999400749803,,0.002737000002525747
language,BCPL+ALGOL+LOGIC=PASCAL,3,9,6,10,True,all,cadical153,1321,4511,1,2,True,True,0.000936600030399859,0.003346799989230931,,0.00428340001963079
language,BCPL+ALGOL+SCALA=SNOBOL,3,9,6,10,True,all,cadical153,1321,4511,1,2,True,True,0.0008192999521270394,0.003472200012765825,,0.004291499964892864
language,BCPL+BASIC+COBOL=PASCAL,3,8,6,10,True,all,cadical153,1302,4404,1,2,True,True,0.0009237000485882163,0.010121300001628697,,0.011045000050216913
language,BCPL+BASIC+LOGIC=PROLOG,3,10,6,10,True,all,cadical153,1340,4628,1,2,True,True,0.0008375999750569463,0.03341949998866767,,0.03425709996372461
language,BCPL+BASIC+PASCAL=SNOBOL,3,9,6,10,True,all,cadical153,1355,4615,1,2,True,True,0.0010000999318435788,0.02496940002311021,,0.02596949995495379
language,BCPL+COBOL+PASCAL=MODULA,3,10,6,10,True,all,cadical153,1374,4732,1,2,True,True,0.0009295999770984054,0.008354099933058023,,0.009283699910156429
language,BCPL+COBOL+PASCAL=SCHEME,3,10,6,10,True,all,cadical153,1374,4732,1,2,True,True,0.001013200031593442,0.027552599902264774,,0.028565799933858216
